Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
267,"Y.C. Learmonth","Validation of patient determined disease steps (PDDS) scale scores in persons with multiple sclerosis",2013,"BMC Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84877663889&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84877663889&origin=inward",1,"2021-03-18 10:43:54","Article","10.1186/1471-2377-13-37","1471-2377","https://api.elsevier.com/content/abstract/scopus_id/84877663889",13,,,,267,33.38,267,1,8,""
218,"P. Shull","Quantified self and human movement: A review on the clinical impact of wearable sensing and feedback for gait analysis and intervention",2014,"Gait and Posture","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84901021122&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84901021122&origin=inward",2,"2021-03-18 10:43:54","Review","10.1016/j.gaitpost.2014.03.189","0966-6362","https://api.elsevier.com/content/abstract/scopus_id/84901021122",40,1,11,19,218,31.14,218,1,7,""
218,"R.W. Motl","Physical activity and quality of life in multiple sclerosis: Intermediary roles of disability, fatigue, mood, pain, self-efficacy and social support",2009,"Psychology, Health and Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=57649129427&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=57649129427&origin=inward",3,"2021-03-18 10:43:54","Article","10.1080/13548500802241902","1354-8506","https://api.elsevier.com/content/abstract/scopus_id/57649129427",14,1,111,124,218,18.17,218,1,12,""
192,"C. Di Natale","Solid-state gas sensors for breath analysis: A review",2014,"Analytica Chimica Acta","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84899068992&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84899068992&origin=inward",4,"2021-03-18 10:43:54","Review","10.1016/j.aca.2014.03.014","0003-2670","https://api.elsevier.com/content/abstract/scopus_id/84899068992",824,,1,17,192,27.43,192,1,7,""
186,"B. Dobkin","The promise of mHealth: Daily activity monitoring and outcome assessments by wearable sensors",2011,"Neurorehabilitation and Neural Repair","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80054029501&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80054029501&origin=inward",5,"2021-03-18 10:43:54","Article","10.1177/1545968311425908","1545-9683","https://api.elsevier.com/content/abstract/scopus_id/80054029501",25,9,788,798,186,18.60,186,1,10,""
176,"J.A. Kent-Braun","Strength, skeletal muscle composition, and enzyme activity in multiple sclerosis",1997,"Journal of Applied Physiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031457041&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031457041&origin=inward",6,"2021-03-18 10:43:54","Article","10.1152/jappl.1997.83.6.1998","8750-7587","https://api.elsevier.com/content/abstract/scopus_id/0031457041",83,6,1998,2004,176,7.33,176,1,24,""
164,"R.I. Spain","Body-worn motion sensors detect balance and gait deficits in people with multiple sclerosis who have normal walking speed",2012,"Gait and Posture","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84859218424&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84859218424&origin=inward",7,"2021-03-18 10:43:54","Article","10.1016/j.gaitpost.2011.11.026","0966-6362","https://api.elsevier.com/content/abstract/scopus_id/84859218424",35,4,573,578,164,18.22,164,1,9,""
162,"A.V. Ng","Quantitation of lower physical activity in persons with multiple sclerosis",1997,"Medicine and Science in Sports and Exercise","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0030891096&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030891096&origin=inward",8,"2021-03-18 10:43:54","Article","10.1097/00005768-199704000-00014","0195-9131","https://api.elsevier.com/content/abstract/scopus_id/0030891096",29,4,517,523,162,6.75,162,1,24,""
147,"J. Herzog","Kinematic analysis of thalamic versus subthalamic neurostimulation in postural and intention tremor",2007,"Brain","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34250825258&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34250825258&origin=inward",9,"2021-03-18 10:43:54","Article","10.1093/brain/awm077","0006-8950","https://api.elsevier.com/content/abstract/scopus_id/34250825258",130,6,1608,1625,147,10.50,147,1,14,""
132,"R. Klaren","Objectively quantified physical activity in persons with multiple sclerosis",2013,"Archives of Physical Medicine and Rehabilitation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84888332041&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84888332041&origin=inward",10,"2021-03-18 10:43:54","Article","10.1016/j.apmr.2013.07.011","0003-9993","https://api.elsevier.com/content/abstract/scopus_id/84888332041",94,12,2342,2348,132,16.50,132,1,8,""
